MODELO;ID_CLIENTE;MODELOS;MARCA
NEW TUCSON FL GL 2.0;554;NEW TUCSON ;HYUNDAI
NEW TUCSON GL 2.0;13662;NEW TUCSON ;HYUNDAI
NEW TUCSON GL 2.0 AT;1124;NEW TUCSON ;HYUNDAI
NEW TUCSON GL 2.0 AU;983;NEW TUCSON ;HYUNDAI
NEW TUCSON GL 2.0 AUT;1939;NEW TUCSON ;HYUNDAI
NEW TUCSON GL 4WD 2.;431;NEW TUCSON ;HYUNDAI
NEW TUCSON GL 4WD 2.0;539;NEW TUCSON ;HYUNDAI
NEW TUCSON GL 4X4 2.;369;NEW TUCSON ;HYUNDAI
NEW TUCSON GL 4X4 2.0;419;NEW TUCSON ;HYUNDAI
NEW TUCSON GL CRDI 2.0;369;NEW TUCSON ;HYUNDAI
NEW XV AWD 2.0I;1743;NEW XV AWD ;SUBARU
NEW XV AWD 2.0I AUT;1119;NEW XV AWD ;SUBARU
NEW XV AWD CVT 2.0I;841;NEW XV AWD ;SUBARU
OPTRA;1926;OPTRA;CHEVROLET
OPTRA LS 1.6;7073;OPTRA;CHEVROLET
OPTRA LS LIMITED 1.6;2677;OPTRA;CHEVROLET
ORLANDO;3789;ORLANDO;CHEVROLET
ORLANDO LS 2.0;5544;ORLANDO;CHEVROLET
ORLANDO LS 2.0 AT;1608;ORLANDO;CHEVROLET
ORLANDO LS 2.0 AUT;987;ORLANDO;CHEVROLET
ORLANDO LT 2.4 AT;366;ORLANDO;CHEVROLET
OUTBACK;627;OUTBACK;SUBARU
OUTLANDER;3277;OUTLANDER;MITSUBISHI
OUTLANDER 2.0;573;OUTLANDER;MITSUBISHI
OUTLANDER 2.0 AUT;479;OUTLANDER;MITSUBISHI
OUTLANDER4X4;411;OUTLANDER;MITSUBISHI
PATHFINDER;1599;PATHFINDER;NISSAN
PATHFINDER 4X4 3.5 AUT;386;PATHFINDER;NISSAN
PATRIOT;1319;PATRIOT;JEEP
PATRIOT 2.4 AUT;397;PATRIOT;JEEP
PATRIOT 4X4 2.4 AUT;867;PATRIOT;JEEP
PATRIOT SPORT 2.4;469;PATRIOT;JEEP
PATRIOT SPORT 2.4 AUT;398;PATRIOT;JEEP
PILOT;1354;PILOT;HONDA
PILOT EX 3.5 AUT;563;PILOT;HONDA
PILOT EX 4X4 3.5 AUT;727;PILOT;HONDA
PILOT EXL 4X4 3.5 AU;558;PILOT;HONDA
PILOT EXL 4X4 3.5 AUT;1034;PILOT;HONDA
Q5;596;Q5;AUDI
QASHQAI;17309;QASHQAI;NISSAN
QASHQAI 1.6;10260;QASHQAI;NISSAN
QASHQAI 2.0;4939;QASHQAI;NISSAN
QASHQAI 2.0 AUT;2966;QASHQAI;NISSAN
QASHQAI 4X4 2.0 AUT;1291;QASHQAI;NISSAN
QASHQAI ADVANCE;618;QASHQAI;NISSAN
QASHQAI ADVANCE 2.0;743;QASHQAI;NISSAN
QASHQAI CVT 2.0;436;QASHQAI;NISSAN
QASHQAI SENSE 2.0;2643;QASHQAI;NISSAN
QUBO DYNAMIC 1.4;371;QUBO DYNAMIC 1.4;FIAT
RANGE ROVER;440;RANGE ROVER;RANGE ROVER
RANGE ROVER SPORT 3.0;395;RANGE ROVER;RANGE ROVER
RAV 4;18619;RAV 4;TOYOTA
RAV 4 2.0;8828;RAV 4;TOYOTA
RAV 4 2.0 AUT;1151;RAV 4;TOYOTA
RAV 4 4X4 2.0;750;RAV 4;TOYOTA
RAV 4 4X4 2.4;750;RAV 4;TOYOTA
RAV4 2.4;7003;RAV 4;TOYOTA
RAV4 2.4 AT;481;RAV 4;TOYOTA
RAV4 2.4 AUT;5781;RAV 4;TOYOTA
RAV4 2.5;2662;RAV 4;TOYOTA
RAV4 2.5 AUT;3985;RAV 4;TOYOTA
RAV4 4X4 2.4 AUT;1413;RAV 4;TOYOTA
RAV4 4X4 2.5 AUT;670;RAV 4;TOYOTA
RENEGADE LIBERTY;417;RENEGADE LIBERTY;JEEP
REXTON;1565;REXTON;SSANGYONG
REXTON 2.0;671;REXTON;SSANGYONG
REXTON II XDI 2.7;550;REXTON;SSANGYONG
RUSH;1140;RUSH;TOYOTA
RX350 4X4 3.5 AUT;647;RX350 4X4 3.5 AUT;LEXUS
S CROSS;385;S CROSS;SUZUKI
S2;2661;S2;JAC
S2 1.5;511;S2;JAC
S2 CE 1.5;426;S2;JAC
S3;2079;S3;JAC
S3 1.5;1342;S3;JAC
S5;851;S5;JAC
S5 2.0;583;S5;JAC
S6;458;S6;BYD
S6 GLXI 2.0;487;S6;BYD
S6 GS I 2.0;821;S6;BYD
SANTA FE;10741;SANTA FE;HYUNDAI
SANTA FE 2.4;531;SANTA FE;HYUNDAI
SANTA FE CRDI GLS 2.2;498;SANTA FE;HYUNDAI
SANTA FE FL GLS 2.2;376;SANTA FE;HYUNDAI
SANTA FE FL GLS 2.4;2541;SANTA FE;HYUNDAI
SANTA FE FL GLS 2.4 AUT;401;SANTA FE;HYUNDAI
SANTA FE FL GLS CRDI 2.2;497;SANTA FE;HYUNDAI
SANTA FE GL 2.7;370;SANTA FE;HYUNDAI
SANTA FE GLS 2.2;3033;SANTA FE;HYUNDAI
SANTA FE GLS 2.2 AT;1116;SANTA FE;HYUNDAI
SANTA FE GLS 2.2 AUT;806;SANTA FE;HYUNDAI
SANTA FE GLS 2.4;8503;SANTA FE;HYUNDAI
SANTA FE GLS 2.4 AT;2710;SANTA FE;HYUNDAI
SANTA FE GLS 2.4 AUT;2728;SANTA FE;HYUNDAI
SANTA FE GLS 4WD 2.2;393;SANTA FE;HYUNDAI
SANTA FE GLS 4WD 2.4;492;SANTA FE;HYUNDAI
SANTA FE GLS 4WD 2.4 AT;403;SANTA FE;HYUNDAI
SANTA FE GLS 4WD 2.4 AUT;364;SANTA FE;HYUNDAI
SANTA FE GLS CRDI 2.2;627;SANTA FE;HYUNDAI
SCORPIO;2221;SCORPIO;MAHINDRA
SCORPIO GLX 2.2;5239;SCORPIO;MAHINDRA
SENTRA SENSE;976;SENTRA SENSE;NISSAN
SORENTO;5320;SORENTO;KIA
SORENTO 2.2;397;SORENTO;KIA
SORENTO 2.4;2496;SORENTO;KIA
SORENTO 2.4 AUT;1781;SORENTO;KIA
SORENTO 4X4 2.4;636;SORENTO;KIA
SORENTO 4X4 2.4 AUT;878;SORENTO;KIA
SORENTO EX;1314;SORENTO;KIA
SORENTO EX 2.2;977;SORENTO;KIA
SORENTO EX 2.4;2240;SORENTO;KIA
SORENTO EX 2.4 AT;497;SORENTO;KIA
SORENTO EX 2.4 AUT;839;SORENTO;KIA
SORENTO EX 4X4 2.2;384;SORENTO;KIA
SORENTO EX 4X4 2.2 AUT;379;SORENTO;KIA
SORENTO EX 4X4 2.4;612;SORENTO;KIA
SORENTO EX 4X4 2.4 AUT;362;SORENTO;KIA
SORENTO FULL 4X4 2.4 AUT;508;SORENTO;KIA
SOUL;3578;SOUL;KIA
